1 2 3 4 5 6 7 8 9 10 
11 12 13 14 15 16 17 18 19 20 
21 22 23 24 25 26 27 28 29 30 
31 32 33 34 35 36 37 38 39 40 
41 42 43 44 45 46 47 48 49 50 
51 52 53 54 55 56 57 58 59 60 
61 62 63 64 65 66 67 68 69 70 
71 72 73 74 75 76 77 78 79 80 
81 82 83 84 85 86 87 88 89 90 
91 92 93 94 95 96 97 98 99 100 

1 2 3 4 5 6 7 8 9 10 

0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 1.42857 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0 0.538462 1.4375 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0 0.833333 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 1.66667 1.07143 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 

0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 1.5 0.5 0.866667 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.153846 1.42857 0.5 0.5 0.6 0.5 0.5 0.5 
0.5 0.5 0.25 0 0 0.416667 0 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0 0.833333 0 1.125 0.5 0.5 
0.5 0.5 0.5 0.5 0.0909091 1.66667 0.384615 0.5 1.29412 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.0625 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 

0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 1.5 1 0.866667 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.153846 1.42857 0 0.214286 0.0833333 0.625 0.5 0.5 
0.5 0.5 0.25 0 0 0.416667 0 0.5 0.5 0.5 
0.5 0.538462 0 0 0 0.833333 0 1.125 0.5 0.5 
0.5 0.5 0 0.5 0.0909091 1.66667 0 0.5 1.29412 0.5 
0.5 0.5 0.5 0.571429 0.5 0.0833333 0.5 0.333333 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 

0.5 0.5 1.25 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
0.5 1.5 1 0.384615 0.416667 0.5 1.07143 0.5 0.5 0.5 
0.5 0.5 0.153846 1.42857 0 0 0.0833333 0 0.5 0.5 
0.5 0.5 0 0 0 0 0 0.5 0.5 0.5 
0.5 0.384615 0 0 0 0 0 1.125 0.5 0.5 
0.5 0.133333 0 0 0 0 0 0.5 1.29412 0.5 
0.5 0.5 0.5 0.466667 0.5 0 0 0.333333 0.5 0.5 
0.5 0.5 0.5 0.5 0.5 0.6 0.857143 0.4 0.5 0.5 
