1 2 3 4 5 6 7 8 9 10 
11 12 13 14 15 16 17 18 19 20 
21 22 23 24 25 26 27 28 29 30 
31 32 33 34 35 36 37 38 39 40 
41 42 43 44 45 46 47 48 49 50 
51 52 53 54 55 56 57 58 59 60 
61 62 63 64 65 66 67 68 69 70 
71 72 73 74 75 76 77 78 79 80 
81 82 83 84 85 86 87 88 89 90 
91 92 93 94 95 96 97 98 99 100 

1 2 3 4 5 6 7 8 9 10 

0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 75 90 28 7 0 0 0 
0 0 0 100 100 100 0 0 0 0 
0 0 11 100 100 100 14 0 0 0 
0 0 0 100 100 100 29 0 0 0 
0 0 0 0 19 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 0 0 69 0 41 19 0 0 0 
0 0 26 171 190 128 87 0 0 0 
0 0 0 200 200 200 0 0 0 0 
0 0 111 200 200 200 32 0 0 0 
0 0 22 200 200 200 29 0 0 0 
0 0 23 0 19 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 0 36 149 0 41 19 0 0 0 
0 0 126 248 290 228 88 0 0 0 
0 0 94 300 300 300 24 0 0 0 
0 0 211 300 300 300 132 0 0 0 
0 0 68 300 300 300 29 0 0 0 
0 0 123 22 19 0 75 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 0 136 149 26 41 19 0 0 0 
0 0 225 348 390 328 188 0 0 0 
0 0 194 400 400 400 24 0 0 0 
0 0 311 400 400 400 201 0 0 0 
0 16 168 400 400 400 29 0 0 0 
0 0 223 93 20 0 175 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 0 236 158 90 104 19 0 0 0 
0 21 284 448 490 428 201 0 0 0 
28 78 294 500 500 500 68 0 0 0 
93 100 411 500 500 500 206 0 0 0 
37 116 268 500 500 500 120 0 0 0 
37 77 323 193 120 13 275 0 0 0 
0 44 75 38 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 

0 40 0 0 0 0 0 0 0 0 
0 0 336 258 90 140 20 0 0 0 
13 71 374 548 590 528 276 0 0 0 
128 178 394 600 600 600 168 39 0 0 
193 200 511 600 600 600 306 0 0 0 
131 216 368 600 600 600 207 27 0 0 
137 177 423 293 218 91 375 62 0 0 
0 44 175 138 54 0 0 0 59 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 

0 140 25 32 70 26 54 0 0 0 
0 44 436 358 169 230 120 10 0 0 
113 171 474 648 690 628 376 21 0 0 
228 278 494 700 700 700 268 109 0 0 
233 300 611 700 700 700 406 76 0 0 
212 316 468 700 700 700 307 70 0 0 
237 277 523 393 318 165 475 162 27 20 
65 44 249 230 154 6 0 0 114 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 

11 240 125 132 170 103 79 20 0 0 
95 144 536 458 269 330 220 10 0 0 
213 271 555 748 790 728 476 121 0 0 
328 378 594 800 800 800 368 111 11 0 
315 400 711 800 800 800 506 132 10 0 
312 416 568 800 800 800 407 170 17 0 
337 377 623 493 418 265 520 262 127 120 
118 128 349 330 254 17 68 54 214 0 
0 0 69 19 0 8 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 

77 340 225 232 270 203 118 120 0 0 
195 244 636 558 369 430 320 83 49 0 
313 371 655 848 890 828 576 221 17 0 
428 478 694 900 900 900 423 211 111 0 
386 500 811 900 900 900 606 232 35 0 
412 516 668 900 900 900 507 270 102 0 
437 477 723 593 518 341 560 362 227 220 
172 201 449 430 354 17 168 154 251 89 
39 22 169 119 85 108 0 0 0 0 
0 0 0 0 0 83 0 0 0 0 

177 440 325 332 370 303 193 220 56 0 
295 344 736 658 469 530 420 148 149 0 
413 471 755 948 990 928 676 321 65 80 
528 578 794 1000 1000 1000 523 311 211 0 
486 600 911 1000 1000 1000 706 332 85 6 
512 616 768 1000 1000 1000 607 370 202 55 
537 577 823 693 618 441 660 462 327 320 
272 301 549 530 454 75 268 250 251 171 
139 89 269 219 185 208 72 31 0 0 
0 0 30 100 27 183 0 0 0 0 
